entry_type,rr_ratio,ml_threshold,use_smt,atr_sl,roi,win_rate,total_trades,max_drawdown
25_ce,2.0,0.0005,True,True,-2.3841176486624134,0.0,1,8.40600000000004
25_ce,2.0,0.0,True,True,-2.3841176486624134,0.0,1,8.40600000000004
25_ce,3.0,0.0,True,True,-2.3841176486624134,0.0,1,8.40600000000004
25_ce,2.0,0.001,True,True,-2.3841176486624134,0.0,1,8.40600000000004
25_ce,3.0,0.0005,True,True,-2.3841176486624134,0.0,1,8.40600000000004
25_ce,4.0,0.0,True,True,-2.3841176486624134,0.0,1,8.40600000000004
25_ce,4.0,0.001,True,True,-2.3841176486624134,0.0,1,8.40600000000004
25_ce,4.0,0.0005,True,True,-2.3841176486624134,0.0,1,8.40600000000004
25_ce,3.0,0.001,True,True,-2.3841176486624134,0.0,1,8.40600000000004
50_ce,2.0,0.0,True,True,-2.384334455252556,0.0,1,8.40600000000004
50_ce,4.0,0.0,True,True,-2.384334455252556,0.0,1,8.40600000000004
50_ce,3.0,0.001,True,True,-2.384334455252556,0.0,1,8.40600000000004
50_ce,2.0,0.0005,True,True,-2.384334455252556,0.0,1,8.40600000000004
50_ce,2.0,0.001,True,True,-2.384334455252556,0.0,1,8.40600000000004
50_ce,3.0,0.0005,True,True,-2.384334455252556,0.0,1,8.40600000000004
50_ce,3.0,0.0,True,True,-2.384334455252556,0.0,1,8.40600000000004
50_ce,4.0,0.0005,True,True,-2.384334455252556,0.0,1,8.40600000000004
50_ce,4.0,0.001,True,True,-2.384334455252556,0.0,1,8.40600000000004
open,2.0,0.0,True,True,-2.384768068432859,0.0,1,2.384768068432859
open,2.0,0.0005,True,True,-2.384768068432859,0.0,1,8.40600000000004
open,3.0,0.001,True,True,-2.384768068432859,0.0,1,8.40600000000004
open,4.0,0.0,True,True,-2.384768068432859,0.0,1,8.40600000000004
open,4.0,0.0005,True,True,-2.384768068432859,0.0,1,8.40600000000004
open,4.0,0.001,True,True,-2.384768068432859,0.0,1,8.40600000000004
open,3.0,0.0005,True,True,-2.384768068432859,0.0,1,8.40600000000004
open,3.0,0.0,True,True,-2.384768068432859,0.0,1,8.40600000000004
open,2.0,0.001,True,True,-2.384768068432859,0.0,1,8.40600000000004
