Asset,Tier,Return (%),Drawdown (%),Ratio
ETHUSDT,Aggressive,3.29392773588868,4.75236628975082,0.693113185107916
BTCUSDT,🧠 ML BRAIN,2.6178373734509153,1.394166259862073,1.8777081678263408
VARIOUS,🛡️ COFRE (Basis),1.25,0.05,25.0
BTCUSDT,Aggressive,0.5398858760403247,3.5180355231194422,0.15346231511659322
BTCUSDT,Trend Hunter,0.0,0.0,0.0
SOLUSDT,Trend Hunter,0.0,0.0,0.0
ETHUSDT,Trend Hunter,0.0,0.0,0.0
SOLUSDT,Conservative,-1.612255137734231,8.556289508209131,-0.18842924099136552
ETHUSDT,Conservative,-2.2105202389594125,6.735521419012647,-0.32818843582319873
SOLUSDT,Aggressive,-2.2989294868009935,8.556289508209131,-0.2686829944914018
SOLUSDT,🧠 ML BRAIN,-3.370447099435414,5.310061850901482,-0.6347284069512709
BTCUSDT,Conservative,-4.1057334018688945,7.976151525926283,-0.5147511790019672
ETHUSDT,🧠 ML BRAIN,-4.5686537359149515,4.5686537359149515,-1.0
